COD-FAMILIAR-FAM;RENDA-MEDIA;LOCALIDADE;UNIDADE_DE_ATENDMENTO;COD-AGUA-CANALIZADA-FAM;COD-ABASTE-AGUA-DOMIC-FAM;COD-BANHEIRO-DOMIC-FAM;COD-ESCOA-SANITARIO-DOMIC-FAM;COD-DESTINO-LIXO-DOMIC-FAM;COD-ILUMINACAO-DOMIC-FAM;COD-CALCAMENTO-DOMIC-FAM
19943;66;PAJUCARA;PAJUCARA;1;1;2;;1;1;1
19944;499;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;1
19945;0;PAJUCARA;PAJUCARA;1;1;1;3;1;3;1
19946;160;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
19947;348;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;2
19948;499;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
19949;500;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
19950;937;NOVO MARACANAU;PIRATININGA;1;4;1;6;1;1;1
19951;66;SIQUEIRA;PARQUE SAO JOAO;1;1;1;2;1;1;1
19952;606;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;3;3
19953;100;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;1
19954;75;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
19955;0;SIQUEIRA;PARQUE SAO JOAO;1;1;1;2;1;1;1
19956;3;PAJUCARA;PAJUCARA;1;1;1;1;1;1;3
19957;937;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19958;242;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;2;1;1;3
19959;60;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
19960;348;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19961;166;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;3;3
19962;0;TIMBO;TIMBO;1;1;1;1;1;1;1
19963;615;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19964;40;ANTONIO JUSTA;ANTONIO JUSTA;1;1;2;;4;3;3
19965;0;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;2;1;3;3
19966;1100;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;2;1;3
19967;50;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19968;404;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
19969;0;NOVO MARACANAU;PIRATININGA;1;1;1;2;1;3;1
19970;1249;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;2
19971;75;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
19972;143;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19973;282;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
19974;998;JACANAU;MUCUNA;1;1;1;3;1;1;1
19975;1100;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
19976;850;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
19977;0;ALTO ALEGRE I;ACARACUZINHO;1;1;1;3;1;1;1
19978;66;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
19979;757;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
19980;618;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
19981;567;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
19982;550;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
19983;0;ESPLANADA DO MONDUBIM;PAJUCARA;1;1;1;3;1;1;1
19984;150;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19985;25;PARQUE TIJUCA;MUCUNA;1;1;1;3;1;1;1
19986;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19987;50;JARDIM MARAVILHA;ACARACUZINHO;1;1;1;3;1;1;1
19988;4;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19989;150;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
19990;1212;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;2;1;1;3
19991;300;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
19992;25;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;1;1;3;1
19993;1036;CAGADO;MUCUNA;1;1;1;2;1;1;3
19994;166;TIMBO;TIMBO;1;1;1;1;1;1;1
19995;0;TIMBO;TIMBO;1;1;1;1;1;1;1
19996;550;TIMBO;TIMBO;1;1;1;1;1;1;1
19997;8;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
19998;499;TIMBO;TIMBO;1;1;1;1;1;1;1
19999;507;TIMBO;TIMBO;1;1;1;1;1;1;1
20000;850;TIMBO;TIMBO;1;1;1;1;1;1;1
20001;0;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
20002;324;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
20003;332;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
20004;37;JARI;PARQUE SAO JOAO;1;4;1;3;1;6;3
20005;0;JARI;PARQUE SAO JOAO;1;4;1;3;4;3;3
20006;0;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;1
20007;499;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;3
20008;33;SIQUEIRA;PARQUE SAO JOAO;1;1;1;2;1;6;1
20009;80;VILA DA PAZ;ACARACUZINHO;1;1;1;2;1;3;1
20010;0;OLHO DAGUA;INDIGENA;1;1;1;3;1;2;1
20011;275;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;2
20012;250;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
20013;766;TIMBO;TIMBO;1;1;1;1;1;1;1
20014;66;ALTO ALEGRE I;ACARACUZINHO;1;1;1;3;1;1;1
20015;100;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;3
20016;1412;TIMBO;TIMBO;1;1;1;1;1;1;1
20017;0;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;3
20018;0;PIRATININGA;CENTRO POP;;;;;;;
20019;112;PAJUCARA;PAJUCARA;1;1;1;1;1;1;3
20020;100;LUZARDO VIANA;MUCUNA;2;2;1;3;2;1;1
20021;74;JARI;PARQUE SAO JOAO;1;1;1;2;1;1;1
20022;1100;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
20023;45;JACANAU;MUCUNA;1;4;1;3;1;3;1
20024;312;SIQUEIRA;PARQUE SAO JOAO;1;1;1;2;1;1;3
20025;522;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;2
20026;40;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;2;1;1;3
20027;75;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
20028;50;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;1
20029;100;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;2
20030;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
20031;407;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
20032;0;SIQUEIRA;PARQUE SAO JOAO;1;4;1;2;1;3;3
20033;70;JARDIM JATOBA;PARQUE SAO JOAO;1;1;1;3;1;1;2
20034;168;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
20035;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;3
20036;80;VILA DA PAZ;ACARACUZINHO;1;1;1;1;1;1;1
20037;75;COQUEIRAL;PIRATININGA;1;1;1;1;1;1;1
20038;0;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;2
20039;50;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
20040;1100;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
20041;100;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
20042;166;TIMBO;TIMBO;1;1;1;1;1;1;2
20043;1045;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
20044;0;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;2
20045;100;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
20046;202;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
20047;83;ALTO ALEGRE I;ACARACUZINHO;1;1;1;3;2;1;3
